key,condition,environment,T,seed,tag,score_column,deployment_d4rl,target_d4rl,return_deploy_col,host_run_dir
bar_p4|hopper-medium-v2|T=4|seed=0,bar_p4,hopper-medium-v2,4,0,hopper-medium-v2_tau4_mpi4_seed0,d4rl_pi4,58.43276895306132,49.91623177850066,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0
two_actor_p4|hopper-medium-v2|T=4|seed=0,two_actor_p4,hopper-medium-v2,4,0,hopper-medium-v2_tau4_mcep4_seed0,d4rl_eval,75.49907526614189,52.8907954186125,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
bar_p4|hopper-medium-v2|T=4|seed=1,bar_p4,hopper-medium-v2,4,1,hopper-medium-v2_tau4_mpi4_seed1,d4rl_pi4,70.98385541587153,48.80016203756621,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1
two_actor_p4|hopper-medium-v2|T=4|seed=1,two_actor_p4,hopper-medium-v2,4,1,hopper-medium-v2_tau4_mcep4_seed1,d4rl_eval,57.867585638127984,43.58509499676971,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed1
bar_p4|hopper-medium-v2|T=7|seed=0,bar_p4,hopper-medium-v2,7,0,hopper-medium-v2_tau7_mpi4_seed0,d4rl_pi4,97.42622666302383,54.11656123004085,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed0
two_actor_p4|hopper-medium-v2|T=7|seed=0,two_actor_p4,hopper-medium-v2,7,0,hopper-medium-v2_tau7_mcep4_seed0,d4rl_eval,98.89577782514104,49.94952913841236,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed0
bar_p4|hopper-medium-v2|T=7|seed=1,bar_p4,hopper-medium-v2,7,1,hopper-medium-v2_tau7_mpi4_seed1,d4rl_pi4,83.4861315173573,49.82695707836454,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed1
two_actor_p4|hopper-medium-v2|T=7|seed=1,two_actor_p4,hopper-medium-v2,7,1,hopper-medium-v2_tau7_mcep4_seed1,d4rl_eval,100.49764317272498,52.40150046765487,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed1
bar_p4|hopper-medium-v2|T=10|seed=0,bar_p4,hopper-medium-v2,10,0,hopper-medium-v2_tau10_mpi4_seed0,d4rl_pi4,100.62532829809756,50.82926298959622,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau10_mpi4_seed0
two_actor_p4|hopper-medium-v2|T=10|seed=0,two_actor_p4,hopper-medium-v2,10,0,hopper-medium-v2_tau10_mcep4_seed0,d4rl_eval,99.59075623653766,57.09516753046382,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau10_mcep4_seed0
bar_p4|hopper-medium-v2|T=10|seed=1,bar_p4,hopper-medium-v2,10,1,hopper-medium-v2_tau10_mpi4_seed1,d4rl_pi4,100.74766430811697,51.51022037706468,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau10_mpi4_seed1
two_actor_p4|hopper-medium-v2|T=10|seed=1,two_actor_p4,hopper-medium-v2,10,1,hopper-medium-v2_tau10_mcep4_seed1,d4rl_eval,97.84462648280717,47.91133185729961,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau10_mcep4_seed1
bar_p4|hopper-medium-v2|T=14|seed=0,bar_p4,hopper-medium-v2,14,0,hopper-medium-v2_tau14_mpi4_seed0,d4rl_pi4,101.22063075861216,68.75094024342867,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau14_mpi4_seed0
two_actor_p4|hopper-medium-v2|T=14|seed=0,two_actor_p4,hopper-medium-v2,14,0,hopper-medium-v2_tau14_mcep4_seed0,d4rl_eval,100.19772054831577,66.72668214912278,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau14_mcep4_seed0
bar_p4|hopper-medium-v2|T=14|seed=1,bar_p4,hopper-medium-v2,14,1,hopper-medium-v2_tau14_mpi4_seed1,d4rl_pi4,100.9527563985614,54.28098347609054,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau14_mpi4_seed1
two_actor_p4|hopper-medium-v2|T=14|seed=1,two_actor_p4,hopper-medium-v2,14,1,hopper-medium-v2_tau14_mcep4_seed1,d4rl_eval,99.12217542444908,58.411682992937486,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau14_mcep4_seed1
bar_p4|hopper-medium-v2|T=20|seed=0,bar_p4,hopper-medium-v2,20,0,hopper-medium-v2_tau20_mpi4_seed0,d4rl_pi4,101.31860077558706,68.99723413561341,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau20_mpi4_seed0
two_actor_p4|hopper-medium-v2|T=20|seed=0,two_actor_p4,hopper-medium-v2,20,0,hopper-medium-v2_tau20_mcep4_seed0,d4rl_eval,100.82821498138934,62.87670773091517,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau20_mcep4_seed0
bar_p4|hopper-medium-v2|T=20|seed=1,bar_p4,hopper-medium-v2,20,1,hopper-medium-v2_tau20_mpi4_seed1,d4rl_pi4,47.233420930053626,55.44099099931372,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau20_mpi4_seed1
two_actor_p4|hopper-medium-v2|T=20|seed=1,two_actor_p4,hopper-medium-v2,20,1,hopper-medium-v2_tau20_mcep4_seed1,d4rl_eval,15.634261821320617,60.45870647085797,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau20_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=4|seed=0,bar_p4,hopper-medium-replay-v2,4,0,hopper-medium-replay-v2_tau4_mpi4_seed0,d4rl_pi4,98.9611680180423,47.68773689425502,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-replay-v2_tau4_mpi4_seed0
two_actor_p4|hopper-medium-replay-v2|T=4|seed=0,two_actor_p4,hopper-medium-replay-v2,4,0,hopper-medium-replay-v2_tau4_mcep4_seed0,d4rl_eval,97.00050424194858,42.39191839948107,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau4_mcep4_seed0
bar_p4|hopper-medium-replay-v2|T=4|seed=1,bar_p4,hopper-medium-replay-v2,4,1,hopper-medium-replay-v2_tau4_mpi4_seed1,d4rl_pi4,98.91208114778853,23.133319644243088,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-replay-v2_tau4_mpi4_seed1
two_actor_p4|hopper-medium-replay-v2|T=4|seed=1,two_actor_p4,hopper-medium-replay-v2,4,1,hopper-medium-replay-v2_tau4_mcep4_seed1,d4rl_eval,98.3311355640236,44.948373211605826,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau4_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=7|seed=0,bar_p4,hopper-medium-replay-v2,7,0,hopper-medium-replay-v2_tau7_mpi4_seed0,d4rl_pi4,99.53983432161964,41.61032965858831,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-replay-v2_tau7_mpi4_seed0
two_actor_p4|hopper-medium-replay-v2|T=7|seed=0,two_actor_p4,hopper-medium-replay-v2,7,0,hopper-medium-replay-v2_tau7_mcep4_seed0,d4rl_eval,98.508904365612,44.307039598382474,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau7_mcep4_seed0
bar_p4|hopper-medium-replay-v2|T=7|seed=1,bar_p4,hopper-medium-replay-v2,7,1,hopper-medium-replay-v2_tau7_mpi4_seed1,d4rl_pi4,100.34107052377894,91.16402114668509,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-replay-v2_tau7_mpi4_seed1
two_actor_p4|hopper-medium-replay-v2|T=7|seed=1,two_actor_p4,hopper-medium-replay-v2,7,1,hopper-medium-replay-v2_tau7_mcep4_seed1,d4rl_eval,98.40749143409008,62.97241724041044,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau7_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=10|seed=0,bar_p4,hopper-medium-replay-v2,10,0,hopper-medium-replay-v2_tau10_mpi4_seed0,d4rl_pi4,100.89999788204062,49.110371506504706,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau10_mpi4_seed0
two_actor_p4|hopper-medium-replay-v2|T=10|seed=0,two_actor_p4,hopper-medium-replay-v2,10,0,hopper-medium-replay-v2_tau10_mcep4_seed0,d4rl_eval,100.24767372969312,71.69369455439974,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-replay-v2_tau10_mcep4_seed0
bar_p4|hopper-medium-replay-v2|T=10|seed=1,bar_p4,hopper-medium-replay-v2,10,1,hopper-medium-replay-v2_tau10_mpi4_seed1,d4rl_pi4,100.10534849491484,44.55676446731693,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau10_mpi4_seed1
two_actor_p4|hopper-medium-replay-v2|T=10|seed=1,two_actor_p4,hopper-medium-replay-v2,10,1,hopper-medium-replay-v2_tau10_mcep4_seed1,d4rl_eval,99.18307627374551,68.1642830399579,return_eval,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/two_actor_p4/hopper-medium-replay-v2_tau10_mcep4_seed1
bar_p4|hopper-medium-replay-v2|T=14|seed=0,bar_p4,hopper-medium-replay-v2,14,0,hopper-medium-replay-v2_tau14_mpi4_seed0,d4rl_pi4,97.39560230161861,62.587263607987886,return_pi4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94_cont2_gpu_d923/runs/bar_p4/hopper-medium-replay-v2_tau14_mpi4_seed0
