task,T,training_seed,hop,actor_a,actor_b,extra_steps,batch_size,lr,tau_step,n_eval,q_weight,mean_q_k,mean_q_prev,delta_q,w2,delta_L,q_term,q_gain_move_ratio,objective_improved,grad_l2,action_rms_from_snapshot,checkpoint_hash
hopper-medium-v2,10,0,2,mu1,mu2,0,256,0.0003,2.5,4096,0.02063258374091339,242.4943459431379,242.33513563561428,0.1592103075236082,0.004159477998795159,0.0008745579963980177,-0.0032849200023974193,0.7897433291747027,False,0.05535394325852394,0.0,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,2,mu1,mu2,500,256,0.0003,2.5,4096,0.02063258374091339,242.52562517223123,242.33513563561428,0.19048953661695123,0.0030958768409958073,-0.0008344144750216387,-0.0039302913160170335,1.2695244410151767,True,0.009793060831725597,0.04500402510166168,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,2,mu1,mu2,2000,256,0.0003,2.5,4096,0.02063258374091339,242.52682731502864,242.33513563561428,0.19169167941436172,0.003036264779988057,-0.0009188298479649859,-0.003955094627953141,1.3026184850613385,True,0.010843041352927685,0.04683100804686546,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,2,mu1,mu2,10000,256,0.0003,2.5,4096,0.02063258374091339,242.5300937883294,242.33513563561428,0.19495815271511674,0.0030453624259148874,-0.0009771279859531745,-0.0040224904118684275,1.3208577007578963,True,0.011337345466017723,0.04765231907367706,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,3,mu2,mu3,0,256,0.0003,2.5,4096,0.02061903736326044,242.65922836090613,242.4943459431379,0.16488241776823997,0.004603927180786338,0.0012042104482787863,-0.003399716732508057,0.7384384241992713,False,0.04704616591334343,0.0,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,3,mu2,mu3,500,256,0.0003,2.5,4096,0.02061903736326044,242.6619433855376,242.4943459431379,0.16759744239971042,0.002916722292898436,-0.0005389756339280183,-0.0034556979268265185,1.1847881216666967,True,0.010571453720331192,0.04533413425087929,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,3,mu2,mu3,2000,256,0.0003,2.5,4096,0.02061903736326044,242.66219475601974,242.4943459431379,0.16784881288185716,0.002882110883793497,-0.0005787700603958612,-0.003460880944189923,1.200814640287065,True,0.008956216275691986,0.04498305544257164,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,3,mu2,mu3,10000,256,0.0003,2.5,4096,0.02061903736326044,242.66532610046852,242.4943459431379,0.1709801573306322,0.002888202220000227,-0.000637244032375861,-0.0035254462523764537,1.220636916613192,True,0.008979017846286297,0.04622911661863327,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,4,mu3,mu4,0,256,0.0003,2.5,4096,0.020605027112171034,242.78253160409804,242.65922836090613,0.12330324319191277,0.004778449854825056,0.0022377831858371167,-0.0025406666689879813,0.5316926505826015,False,0.06040268763899803,0.0,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,4,mu3,mu4,500,256,0.0003,2.5,4096,0.020605027112171034,242.8022987103759,242.65922836090613,0.14307034946978092,0.002792456657849638,-0.00015551177192296706,-0.0029479684297726207,1.0556899500967496,True,0.009390980936586857,0.05279618501663208,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
